pc_time,line
1790312475.473112,"CSI_DATA,10,98:77:e7:2d:f8:74,-52,11,1,7,0,1,1,0,1,0,0,-96,0,1,0,3500278,0,83,0,128,1,""[83,-80,4,0,19,35,20,32,19,28,18,23,15,18,11,12,6,8,0,4,-6,1,-12,-2,-17,-3,-23,-3,-27,-3,-30,-3,-31,-2,-32,-1,-32,-1,-30,-1,-26,-2,-22,-4,-17,-5,-11,-6,-5,-6,1,-6,5,-6,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,5,-12,18,-12,14,-11,8,-8,2,-4,-4,1,-10,6,-15,11,-20,15,-24,18,-27,20,-29,21,-31,20,-32,19,-32,16,-30,14,-27,10,-22,7,-17,5,-10,3,-3,2,4,3,12,4,19,6,25,10,30,13,34]"""
1790312475.479521,"CSI_DATA,11,98:77:e7:2d:f8:74,-52,11,1,7,0,1,1,0,1,0,0,-96,0,1,0,3510181,0,83,0,128,1,""[83,-80,4,0,19,-31,16,-31,13,-29,10,-25,7,-20,5,-14,3,-8,2,-2,3,4,4,10,6,15,8,19,10,22,11,24,12,25,13,24,12,23,11,22,9,19,6,16,2,12,-1,8,-4,3,-7,-1,-8,-5,-3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,21,1,18,3,13,4,7,4,1,4,-6,3,-12,1,-18,-1,-23,-2,-28,-4,-31,-4,-34,-5,-34,-4,-34,-3,-32,-2,-28,-1,-24,0,-18,0,-12,0,-5,-2,1,-4,8,-8,13,-12,17,-17,19,-21,21,-25]"""
1790312475.497381,"CSI_DATA,12,98:77:e7:2d:f8:74,-52,11,1,7,0,1,1,0,1,0,0,-96,0,1,0,3520570,0,83,0,128,1,""[83,-80,4,0,34,12,33,10,31,7,27,4,22,3,16,1,10,1,4,2,-2,3,-7,5,-12,8,-16,10,-19,13,-20,15,-21,17,-22,18,-23,18,-22,17,-20,14,-18,11,-15,8,-12,4,-9,0,-5,-4,-2,-6,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,17,0,14,-3,9,-4,3,-5,-4,-5,-10,-5,-16,-4,-22,-4,-27,-3,-31,-3,-33,-4,-34,-4,-34,-5,-32,-6,-29,-6,-25,-6,-21,-5,-15,-2,-10,1,-4,5,2,10,6,15,10,20,13,25,15,28,16]"""
1790312475.506273,"CSI_DATA,13,98:77:e7:2d:f8:74,-52,11,1,7,0,1,1,0,1,0,0,-96,0,1,0,3532934,0,83,0,128,1,""[83,-80,4,0,-34,-19,-33,-17,-30,-14,-27,-10,-23,-7,-17,-5,-12,-4,-6,-4,0,-4,5,-6,10,-8,15,-10,18,-13,20,-15,21,-16,23,-18,23,-19,22,-18,21,-16,19,-14,16,-10,13,-6,10,-2,6,2,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-5,4,-15,5,-11,5,-5,4,1,2,7,0,13,-2,19,-5,24,-6,28,-8,31,-8,32,-8,33,-7,33,-6,32,-4,29,-3,24,-2,19,-1,14,-2,8,-4,2,-6,-4,-10,-10,-14,-14,-18,-18,-23,-21,-26,-22]"""
1790312475.508779,"CSI_DATA,14,98:77:e7:2d:f8:74,-52,11,1,7,0,1,1,0,1,0,0,-96,0,1,0,3540237,0,83,0,128,1,""[83,-80,4,0,34,15,33,12,30,9,26,6,21,4,15,3,9,2,3,3,-4,4,-9,6,-14,9,-18,12,-20,15,-21,17,-22,18,-22,19,-22,19,-21,17,-19,15,-17,11,-14,7,-11,3,-7,-2,-3,-6,0,-8,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,5,-3,20,-4,16,-6,11,-6,5,-5,-2,-4,-9,-2,-15,0,-21,1,-26,2,-30,3,-33,3,-35,2,-35,1,-34,-1,-32,-2,-28,-3,-23,-2,-17,-1,-11,1,-5,5,1,9,7,14,11,18,15,24,18,27,19]"""
1790312475.521452,"CSI_DATA,15,98:77:e7:2d:f8:74,-52,11,1,7,0,1,1,0,1,0,0,-96,0,1,0,3552749,0,83,0,128,1,""[83,-80,4,0,28,-24,25,-24,22,-24,18,-22,14,-18,10,-14,7,-8,4,-3,2,3,2,8,2,14,2,18,3,22,5,25,6,27,6,27,6,26,5,25,4,23,2,20,0,16,-2,12,-4,7,-6,2,-7,-2,-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,15,9,11,8,5,7,0,5,-6,1,-11,-3,-16,-6,-20,-10,-24,-13,-27,-15,-29,-17,-31,-17,-31,-16,-30,-14,-28,-12,-25,-10,-20,-8,-15,-6,-9,-4,-2,-4,5,-4,11,-6,17,-8,22,-11,26,-14,28,-17]"""
1790312475.528917,"CSI_DATA,16,98:77:e7:2d:f8:74,-52,11,1,7,0,1,1,0,1,0,0,-96,0,1,0,3560703,0,83,0,128,1,""[83,-80,4,0,40,6,38,4,35,1,30,-1,24,-1,17,-1,10,0,4,2,-2,5,-7,9,-11,13,-15,17,-17,21,-18,23,-18,25,-19,26,-18,26,-18,24,-16,20,-15,16,-13,11,-10,5,-8,0,-5,-5,-3,-9,-1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,22,0,18,-3,13,-5,6,-6,-1,-6,-8,-6,-16,-6,-22,-6,-28,-7,-33,-8,-36,-9,-38,-10,-38,-10,-36,-11,-33,-10,-29,-9,-24,-7,-18,-4,-11,0,-6,6,0,12,4,18,8,25,10,31,11,35,12]"""
1790312475.539154,"CSI_DATA,17,98:77:e7:2d:f8:74,-52,11,1,7,0,1,1,0,1,0,0,-96,0,1,0,3571393,0,83,0,128,1,""[83,-80,4,0,0,-42,-3,-39,-4,-36,-5,-31,-5,-25,-4,-18,-2,-11,2,-5,5,1,10,5,15,9,19,11,23,12,26,14,28,14,29,13,28,12,26,12,23,11,18,11,13,10,7,8,1,7,-5,5,-9,2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-2,21,-7,18,-4,13,0,7,2,0,5,-7,7,-15,8,-21,9,-27,10,-32,10,-35,11,-37,11,-36,12,-34,13,-31,14,-27,13,-22,11,-17,9,-11,5,-6,-1,-1,-7,3,-13,6,-20,7,-27,7,-33,6,-37]"""
1790312475.553343,"CSI_DATA,18,98:77:e7:2d:f8:74,-52,11,1,7,0,1,1,0,1,0,0,-96,0,1,0,3580185,0,83,0,128,1,""[83,-80,4,0,31,-20,28,-21,25,-21,21,-19,16,-16,11,-12,7,-8,4,-2,2,3,0,9,0,14,0,19,0,22,2,26,3,28,3,28,3,28,2,26,1,24,0,20,-2,16,-3,12,-5,7,-6,1,-7,-3,-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,13,11,9,11,4,8,-2,5,-6,0,-11,-4,-15,-9,-19,-13,-22,-17,-24,-20,-26,-22,-27,-22,-27,-22,-27,-20,-25,-17,-23,-14,-19,-11,-14,-8,-8,-6,-2,-4,5,-4,12,-4,18,-6,24,-7,28,-10,31,-12]"""
1790312475.559325,"CSI_DATA,19,98:77:e7:2d:f8:74,-52,11,1,7,0,1,1,0,1,0,0,-96,0,1,0,3590222,0,83,0,128,1,""[83,-80,4,0,8,-36,6,-35,4,-32,2,-28,1,-22,0,-16,1,-10,2,-4,4,2,7,7,11,11,14,14,17,16,20,18,21,18,22,18,21,17,19,16,17,15,13,14,8,12,4,9,-1,6,-5,3,-8,0,-3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,20,-3,16,0,11,2,6,3,-1,4,-8,4,-14,4,-21,4,-26,3,-30,3,-33,3,-35,4,-35,4,-33,6,-31,6,-27,6,-22,6,-17,4,-11,2,-5,-2,1,-6,6,-11,9,-17,11,-22,12,-27,13,-31]"""
